,sentiment,New News
973,positive,"This Is No Time To Go Wobbly, Tesla Shorts"
974,negative,Investors Cannot Trust Tesla Anymore
975,positive,Tesla Appears To Be Trying To Mislead Its Customers/Investors Again
976,negative,"No, Tesla Can't Borrow Much Against The Gigafactory"
977,negative,"Tesla: Damn The Torpedoes, Full Speed Ahead!"
978,negative,Tesla: A Bear Turns Bullish
979,negative,Requiem For Tesla's Technical Bulls
980,positive,Tesla: A Changing World
981,positive,Tesla Headed For A Credit Driven Meltdown
982,negative,"Tesla: Dread It, Run From It, Destiny Still Arrives"
983,negative,Predicting Tesla's Demise Is Not Wise
984,negative,An Airbag For Tesla Longs
985,negative,The Bullish Story Buried In Tesla's Gross Profit Data
986,negative,Another Nail In Tesla's Self-Driving Dreams
987,negative,Touchscreen Problems Persist For Tesla's Model 3
988,negative,"Alphabet's Waymo Partners With Jaguar For Level 5 Driverless All-Electric SUV, Outgunning Tesla"
989,positive,Tesla: How One Short Makes Money
990,negative,3 Reasons Why Tesla Is A 'Blindingly Obvious Short'
991,neutral,"No, Tesla's Cars Will Not Be Fully Autonomous By The End Of 2019"
992,negative,Tesla Investors Should Be Concerned - Anton Wahlman's Idea Of The Month
993,positive,"Tesla Model 3 Production Finally At 2,500 A Week?"
994,negative,Tesla: The Moment Of Truth Is Approaching
995,positive,Tesla: How Many Model 3s?
996,positive,Tesla: Another Model 3 Delay?
997,negative,Uber Arizona Accident Shows Why Tesla Is At The Losing End Of Autonomy
998,negative,Tesla May Post A Billion-Dollar Loss This Quarter
999,negative,CoverDrive Still Expects Tesla Records In Q1
1000,negative,Time To Follow Tesla Executives And Run For The Hills?
1001,negative,Tesla Headwinds Getting Stronger
1002,positive,Will Volkswagen Speed Past Tesla?
1003,negative,Why Are Phantoms And Vampires Plaguing Tesla's Model 3?
1004,negative,Tesla's Latest Autopilot Update Is A Hit With Owners
1005,positive,The Technicals Of Tesla
1006,positive,Tesla Must Raise Capital By Q3
1007,positive,Tesla: Why So Bearish?
1008,positive,"What GE And Tesla Now Have In Common, And A Better Investment In The Field"
1009,positive,Tesla: Where Is The SEC?
1010,negative,Jonas And The Whale: Tesla's Biggest Bull Has Started To Worry And You Should Too
1011,positive,Tesla: How About Some Facts?
1012,negative,"Tesla: It's Sales That Count, Not Reservations"
1013,negative,"Tesla Could Earn $2 Billion A Year Selling Semi Powertrains To Truck Makers In India, China"
1014,negative,Lower Cost Than Tesla? Volkswagen's New Battery Cell Costs Under 100 Euro Per KWh
1015,negative,Tesla: It's Just Getting Worse
1016,negative,Hyundai And Jaguar Mock Tesla's Model X And Y
1017,neutral,Tesla Model 3 Gets More Expensive
1018,positive,Model 3 Hits Another Speed Bump: So Is It Time To Hit The Brakes On Tesla's Stock?
1019,negative,Tesla's Brilliant Move: Higher Supercharger Rates
1020,positive,Tesla's Cash Conversion Cycle
1021,negative,Tesla's Sales Collapse In Europe: Down 63% This Quarter
1022,negative,Tesla's Odd 8-Ks Omit A Lot
1023,negative,Bearish On Amazon; Bullish On Tesla - Mott Capital Management's Mike Kramer's Idea Of The Month
1024,negative,"In Hushed Tones, Tesla's VIEs Tell A Story"
1025,negative,CoverDrive's 2018 Tesla Forecast: $2.8 Billion In Losses
1026,positive,Tesla Needs A March Miracle
1027,positive,Tesla: Expectations Are Low
1028,negative,Just Say 'No' To Tesla's Misleading Margin Metric
1029,positive,Tesla: Competition Arrives
1030,negative,Tesla Bears Remain Active
1031,positive,Tesla: The Window Is Closing
1032,positive,5 Reasons To Sell Tesla Now
1033,negative,Will Tesla Have To Pre-Announce A 42% Q1 Sales Miss?
1034,positive,Tesla's New Moves With Home Depot And Lowe's Explained
1035,positive,Tesla Model 3 Production Stalled?
1036,negative,Tesla's 'New' Home Depot Relationship
1037,negative,Tesla Poised To Post Massive Q1 Loss
1038,positive,Will Hong Kong Return As Tesla's Beacon City?
1039,negative,The Anatomy Of Tesla's Short Sellers
1040,positive,Increasing Costs Will Make Model 3 Unprofitable For Tesla
1041,neutral,FASB Guidance Was Followed In The Latest Tesla 10-K
1042,negative,Tesla Profitability Not A Concern - Galileo Russell's Idea Of The Month
1043,positive,Tesla Fools The Media About Model S And Model X Demand
1044,positive,Tesla Interest Expenses Soaring
1045,negative,"Tesla: The Breakout Appears Imminent, New All-Time Highs Very Likely"
1046,neutral,"Tesla Investor Calendar: The Next 90 Days, Including Model S And X Refresh"
1047,negative,Tesla's 10-K Shows A Newfound Modesty
1048,negative,Timeline Of Daimler's Numerous Electric Truck Models: From 2017 To 2021
1049,negative,Tesla: Update On Gross Margin And SG&A; Analysis Of Profitability With Model 3
1050,positive,Tesla: What To Watch Now
1051,negative,"Tesla, Its 10-K And 'Going Concern' Disclosures"
1052,negative,"Trump's Tax Plan: Bad News For Amazon, Tesla, And Netflix Shareholders"
1053,neutral,"Tesla Model 3 Ramp Guidance At Risk: Production Is Likely Well Below 1,000 Per Week"
1054,positive,Tesla's Path To $650 Billion
1055,neutral,Tesla Model 3 Quality May Soon Become The Key Ramp Limitation Ahead Of Battery Manufacturing
1056,negative,Tesla's Leading Market Position: Likely To Leave Rivals Lagging Far Behind For Years
1057,negative,The Scary Tesla Chart That Isn't So Scary
1058,positive,Tesla: Revising Model S And X Projections
1059,negative,"Tesla Charts That Are Worth 1,000 Words"
1060,positive,Tesla's Model 3 Problems Keep Getting Worse
1061,negative,Tesla's Institutional Holdings See Upward Spike
1062,negative,"Hey Taxpayers: Trick My Truck! Tesla, Workhorse Group And The Pathology Of Misallocated Capital"
1063,negative,Australia Provides Examples Of More Positive Indicators For Tesla
1064,negative,"Tesla: Often Wrong, Never In Doubt"
1065,positive,Tesla Estimates Getting Worse
1066,negative,Tesla Bears: The Boys Who Cried Wolf
1067,positive,Tesla: Key Autopilot Comment
1068,neutral,Tesla's Model 3: Gross Profit Is Not Equal To Additional Profit Per Car
1069,negative,Tesla 2018 Margin Outlook Got Substantially Worse Due To Gigafactory Problems
1070,positive,What Moves Tesla Stock Price?
1071,negative,Tesla And T. Rowe: Valentine's Day Edition
1072,negative,How Volkswagen's New Large SUV Outgrew Tesla Almost Overnight
1073,negative,Expert Opinion: Cathode Powders For Tesla's Batteries Would Cost $50 Per KWh At Spot Metal Prices
1074,positive,Tesla: Credit Rating Downgrade Coming?
1075,negative,Tesla After Q4: Running Out Of Excuses
1076,negative,Tesla Firing On All Cylinders - Victor Dergunov's Idea Of The Month
1077,negative,Tesla's Q4 Red Flags For New Products
1078,negative,Tesla ABS Investors Cannot Price Risk
1079,positive,Tesla: Could Q1 Be Worse?
1080,negative,How Tesla Boosts Their Cash Flow
1081,negative,5 Remarkable Revelations From Tesla's Quarterly Reporting
1082,negative,"Tesla, Artfully Dodging Discussions About Technology Metal Costs And Supply Chain Risks"
1083,negative,"Tesla Model Y: Factory Site, Timing Of Production, And Competitive Landscape"
1084,negative,"Tesla: 2018 Revenues Expected To Double, Stock Likely To Rebound And Proceed Higher"
1085,positive,Tesla 4Q 2017: Mixed Bag
1086,negative,"As Tesla Breaks Faith With Its Believers, It's Time To Go Short"
1087,negative,Tesla Q4 Earnings: The Outlook Is Surprisingly Good
1088,positive,Tesla's Conference Call - Zinger Edition
1089,negative,Tesla Loses President Of Global Sales As Predicted
1090,positive,Tesla: Second Look Even Worse
1091,negative,A First Look At Tesla's Dreadful Q4 Results
1092,positive,"Trouble For $36,000 Tesla Model 3: Big Delay Revealed"
1093,negative,Tesla Q4: Financials Really Worsen
1094,negative,Tesla: New Executive Compensation Plan Means It's Time To Short This Stock
1095,negative,Tesla Q4 Earnings Call Is Likely To Be Filled With Disappointments
1096,positive,How Green Is Tesla?
1097,negative,Tesla: The New Atacama Debutante
1098,negative,Tesla Is About To Be Shocked By Jaguar's Charging Advantage
1099,negative,Tesla's Trucking Reality Comes Into Focus
1100,neutral,"Tesla Model 3 At 1,000 Per Week Entering January?"
1101,negative,Tesla Q4 2017 Earnings Preview
1102,negative,Tesla Q4 2017: What I'll Be Watching
1103,negative,Tesla: Recalibration Time
1104,positive,Is Tesla's Latest Financing Good News For Shareholders?
1105,negative,"Instead Of Lagging The Autonomous Pack, Tesla No Longer Runs With It"
1106,negative,California Autonomous Test Data Suggests That Tesla Autonomy Is MIA
1107,positive,Tesla January Estimates Disappoint
1108,positive,"Is Tesla A $1,000 Stock?"
1109,negative,The 5 New Tesla Competitors Arriving In The Next 12 Months
1110,positive,"Model 3 Has Also A Demand Problem: Deliveries Unlikely To Reach 80,000 This Year"
1111,positive,Tesla: New Factory News Soon?
1112,positive,Tesla: Short Interest Update
1113,positive,Tesla: Avoid The Distractions
1114,negative,Ford Looks Past Tesla's Gigafactory To A 'Post-Lithium-Ion' Future
1115,negative,Infiniti Outgrew Tesla 5:1 In 2017 In The U.S.
1116,positive,Tesla: More Model 3 Trouble?
1117,positive,Tesla Board Fiddles As Model 3 Falters
1118,positive,Why The Model 3 Alone Can't Make Tesla Profitable
1119,negative,Tesla Jumps The Shark On CEO Compensation
1120,positive,Tesla's Next 5 Weeks
1121,negative,Trump's Tariffs Take Tesla Off The Taxpayer Hook
1122,negative,These Three Free Rides Will Hurt Tesla's (Hypothetical) Profits Once They End
1123,positive,The Case For Tesla
1124,negative,Tesla: New Musk Pay Plan Sets Low Achievement Bar
1125,negative,Tesla: Elon Musk's Compensation Implies Massively Lower Profitability
1126,positive,Tesla And Oil
1127,positive,The Model 3 Can Make Tesla Profitable
1128,positive,Tesla's Convertible Debt: Accounting Vs. Economic Reality
1129,negative,Energy Recap: Tackling Renewable Energy's Biggest Problem - Storage
1130,positive,Tesla Semi Details
1131,negative,Nissan Leaf Will Likely Wipeout Significant Part Of Model 3 Worldwide Demand
1132,positive,Trucks: A Potential Headwind For Tesla
1133,positive,Will The Tesla Semi Ever Enter Production?
1134,positive,Tesla Model 3 Cost To Own Update
1135,negative,Tesla's Demand Deposit Conundrum
1136,negative,Tesla's Model 3: Unprecedented Price Performance Means Unprecedented Sales
1137,negative,Fidelity Continues To Dump Tesla Shares
1138,positive,Tesla Capital Raise Coming
1139,negative,Will GM Beat Tesla To Market For An Electric Pickup Truck?
1140,positive,"Energy Storage Can Drive Future Tesla Growth, Not Just Autos"
1141,positive,Tesla: Cash Is King
1142,positive,Tesla Bears Hang On
1143,negative,"Tesla: Not Your Ordinary Car Company, The 'Tesla Economy' Is Already Here"
